Name,Plan,Toddle Buddy,Cutomer journey stage,Strategic account,Contract signed statu,Payment status,Risk tag,Risk level,Days in risk,Onboarding lifecycle status,Days in Onboarding,Total Classes,Total Staff,Total Student,Total Units Created,Total LE,Total journal posts,Total Announcements,Percentage of students with parents,Helth Metric
School 1,360,Buddy 7,Adoption,No,O/F signed,Received,Not at risk,4. Not at risk,,Exit Survey,125,77,30,144,143,218,455,357,99,Excellent
School 2,360,Buddy 4,Adoption,No,O/F signed,Received,Not at risk,4. Not at risk,,Exit Survey,38,10,45,141,56,436,"2,413",492,100,Excellent
School 3,360,Buddy 10,Adoption,No,O/F signed,Received,Not at risk,4. Not at risk,,Exit Survey,31,70,143,783,70,"1,359","8,014","2,060",100,Excellent
School 4,360,Buddy 7,Adoption,Yes,O/F signed,Received,Flagged,4. Not at risk,274,Exit Survey,102,95,98,134,230,"1,464",75,381,100,Excellent
School 5,360,Buddy 7,Adoption,Yes,O/F signed,Received,Flagged,4. Not at risk,120,Exit Survey,105,256,57,427,309,"1,323",342,875,100,Excellent
School 6,360,Buddy 8,Adoption,No,O/F signed,Received,Not at risk,4. Not at risk,,Exit Survey,69,40,30,105,254,647,"2,154",149,0,Poor
School 7,Pro,Buddy 3,Onboarding,No,O/F out for sign,Billing Pending,Not at risk,4. Not at risk,,3. Account creation,11,27,27,0,3,0,0,0,0,Poor
School 8,360,Buddy 9,Adoption,No,O/F out for sign,Invoice Due-Payment Pending,Not at risk,4. Not at risk,,Exit Survey,92,23,60,262,30,66,"4,197",619,100,Excellent
School 9,360,Buddy 1,Adoption,Yes,O/F out for sign,Received,Not at risk,4. Not at risk,,Exit survey,14,226,51,342,143,9,0,1,81,Concerning
School 10,360,Buddy 5,Adoption,No,O/F signed,Received,At Risk,1. High,9,Exit Survey,170,214,38,214,285,790,735,122,64,Concerning
School 11,360,Buddy 8,Adoption,No,O/F signed,Received,Flagged,4. Not at risk,,Exit survey,74,6,5,0,21,41,24,0,0,Poor
School 12,360,Buddy 3,Adoption,No,O/F signed,Received,Not at risk,4. Not at risk,,Exit Survey,16,50,38,118,191,329,7,251,97,Excellent
School 13,360,Buddy 2,Adoption,Yes,PO Received,Invoice Due-Payment Pending,Flagged,4. Not at risk,,Exit survey,88,1,2,0,0,0,0,0,0,Poor
School 14,360,Buddy 3,Adoption,No,O/F signed,Received,At Risk,2. Medium,20,Exit Survey,115,15,41,317,36,72,"8,244",265,100,Excellent
School 15,360,Buddy 5,Onboarding,No,Awaiting PO,Payment Pending,Not at risk,4. Not at risk,,2. Kick off,100,0,0,0,0,0,0,0,0,Poor
School 16,Pro,Buddy 9,Adoption,No,Awaiting PO,Received,Not at risk,4. Not at risk,,Exit survey,131,8,10,0,25,4,0,0,0,Poor
School 17,Pro,Buddy 10,Onboarding,No,O/F signed,Payment Pending,Not at risk,4. Not at risk,,4. Training,50,14,12,1,16,5,0,0,0,Poor
School 18,360,Buddy 7,Adoption,No,O/F signed,Received,Flagged,4. Not at risk,,4. Training,243,153,84,348,302,124,"5,052","1,270",100,Excellent
School 19,360,Buddy 7,Adoption,No,No O/F,Received,Not at risk,4. Not at risk,,4. Training,0,84,56,57,105,381,536,400,100,Excellent
School 20,Pro,Buddy 10,Onboarding,No,O/F out for sign,Billing Pending,Not at risk,4. Not at risk,,4. Training,37,10,24,3,11,78,1,0,0,Poor
School 21,360,Buddy 8,Adoption,No,O/F signed,Received,Not at risk,4. Not at risk,,4. Training,197,69,52,88,187,465,141,298,100,Excellent
School 22,360,Buddy 8,Adoption,No,O/F signed,Received,Not at risk,4. Not at risk,,Exit Survey,113,9,50,143,42,484,"1,518",421,99,Excellent
School 23,360,Buddy 1,Onboarding,No,PO Received,Received,Not at risk,4. Not at risk,,Introduction,9,0,0,0,0,0,0,0,0,Poor
School 24,360,Buddy 3,Adoption,Yes,Awaiting PO,Received,At Risk,3. Low,346,Introduction,1,17,27,222,33,18,11,0,0,Poor
School 25,360,Buddy 5,Adoption,No,O/F signed,Received,Not at risk,4. Not at risk,,Exit Survey,1,35,59,420,70,137,"3,098",648,95,Excellent
School 26,Pro,Buddy 3,Adoption,No,O/F signed,Received,Not at risk,4. Not at risk,,Exit survey,117,39,62,0,51,55,16,0,0,Poor
School 27,360,Buddy 6,Adoption,Yes,O/F signed,Received,Flagged,4. Not at risk,200,Exit Survey,208,114,56,152,127,281,"3,082",0,99,Excellent
School 28,360,Buddy 5,Adoption,No,No O/F,Received,Not at risk,4. Not at risk,,Exit Survey,66,15,45,280,36,210,"4,054",348,96,Excellent
School 29,360,Buddy 4,Adoption,No,O/F signed,Received,Not at risk,4. Not at risk,,Exit Survey,195,5,24,22,41,34,"1,211",42,91,Excellent
School 30,Pro,Buddy 3,Onboarding,No,O/F out for sign,Billing Pending,Not at risk,4. Not at risk,,3. Account creation,11,13,19,3,14,29,0,0,0,Poor
School 31,360,Buddy 4,Adoption,No,O/F signed,Received,Not at risk,4. Not at risk,,Exit Survey,,37,15,82,136,"1,023",232,63,96,Excellent
School 32,360,Buddy 4,Adoption,No,O/F signed,Received,Not at risk,4. Not at risk,,Exit Survey,77,19,13,22,93,466,340,27,64,Concerning
School 33,360,Buddy 2,Adoption,Yes,O/F signed,Invoice Due-Payment Pending,Not at risk,4. Not at risk,,Exit Survey,127,57,67,133,145,"1,138","1,234",93,98,Excellent
School 34,360,Buddy 7,Adoption,No,O/F signed,Received,Not at risk,4. Not at risk,,Exit Survey,19,23,66,433,87,805,563,"4,618",99,Excellent
School 35,360,Buddy 1,Adoption,No,O/F signed,Received,At Risk,2. Medium,6,4. Training,124,0,0,0,0,0,0,0,0,Poor
School 36,360,Buddy 1,Adoption,No,O/F signed,Received,Not at risk,4. Not at risk,,Exit Survey,5,166,36,215,113,237,"6,684",127,100,Excellent
School 37,360,Buddy 7,Adoption,Yes,O/F signed,Received,Not at risk,4. Not at risk,,Exit Survey,309,24,88,388,22,174,410,58,98,Excellent
